"Year","District","Species","Hunters","T_harvest","Bucks","Does","Bow","Rifle","four_plus","ung","Bulls","Cows","six_plus","p_success"
2004,"332","all_deer",613,99,75,23,9,90,19,"deer",NA,NA,NA,0.161500815660685
2004,"332","md",613,72,60,12,9,63,9,"deer",NA,NA,NA,NA
2004,"332","wt",613,27,15,11,0,27,10,"deer",NA,NA,NA,NA
2004,"333","all_deer",1788,1333,552,758,40,1293,379,"deer",NA,NA,NA,0.745525727069351
2004,"333","md",1788,496,200,288,16,480,111,"deer",NA,NA,NA,NA
2004,"333","wt",1788,835,352,468,24,811,268,"deer",NA,NA,NA,NA
2004,"335","all_deer",561,294,210,84,15,279,108,"deer",NA,NA,NA,0.524064171122995
2004,"335","md",561,264,188,76,15,249,98,"deer",NA,NA,NA,NA
2004,"335","wt",561,30,22,8,0,30,11,"deer",NA,NA,NA,NA
2004,"339","all_deer",551,336,219,117,13,323,102,"deer",NA,NA,NA,0.609800362976406
2004,"339","md",551,231,164,67,9,222,76,"deer",NA,NA,NA,NA
2004,"339","wt",551,104,56,48,4,99,27,"deer",NA,NA,NA,NA
2004,"340","all_deer",1578,880,469,397,56,825,286,"deer",NA,NA,NA,0.55766793409379
2004,"340","md",1578,300,202,95,12,288,80,"deer",NA,NA,NA,NA
2004,"340","wt",1578,581,267,302,44,537,206,"deer",NA,NA,NA,NA
2004,"341","all_deer",534,138,91,44,0,138,41,"deer",NA,NA,NA,0.258426966292135
2004,"341","md",534,100,67,33,0,100,21,"deer",NA,NA,NA,NA
2004,"341","wt",534,38,24,11,0,38,20,"deer",NA,NA,NA,NA
2004,"343","all_deer",827,352,260,92,11,341,127,"deer",NA,NA,NA,0.425634824667473
2004,"343","md",827,283,220,63,3,280,108,"deer",NA,NA,NA,NA
2004,"343","wt",827,68,40,29,7,61,20,"deer",NA,NA,NA,NA
2004,"350","all_deer",531,157,98,56,0,157,52,"deer",NA,NA,NA,0.295668549905838
2004,"350","md",531,119,79,39,0,119,39,"deer",NA,NA,NA,NA
2004,"350","wt",531,38,19,18,0,38,13,"deer",NA,NA,NA,NA
2004,"360","all_deer",951,583,306,259,38,546,148,"deer",NA,NA,NA,0.613038906414301
2004,"360","md",951,218,190,22,7,211,82,"deer",NA,NA,NA,NA
2004,"360","wt",951,360,110,237,31,330,66,"deer",NA,NA,NA,NA
2004,"361","all_deer",139,36,30,6,3,33,18,"deer",NA,NA,NA,0.258992805755396
2004,"361","md",139,23,21,2,2,21,14,"deer",NA,NA,NA,NA
2004,"361","wt",139,14,9,5,2,12,4,"deer",NA,NA,NA,NA
2004,"362","all_deer",287,55,35,20,2,53,13,"deer",NA,NA,NA,0.191637630662021
2004,"362","md",287,46,29,17,2,44,9,"deer",NA,NA,NA,NA
2004,"362","wt",287,9,6,3,0,9,4,"deer",NA,NA,NA,NA
2004,"370","all_deer",327,97,53,43,0,97,16,"deer",NA,NA,NA,0.296636085626911
2004,"370","md",327,50,36,14,0,50,6,"deer",NA,NA,NA,NA
2004,"370","wt",327,45,16,29,0,45,11,"deer",NA,NA,NA,NA
2004,"380","all_deer",1929,1068,713,344,18,1050,363,"deer",NA,NA,NA,0.553654743390358
2004,"380","md",1929,674,499,174,3,671,223,"deer",NA,NA,NA,NA
2004,"380","wt",1929,394,214,170,15,379,140,"deer",NA,NA,NA,NA
2004,"390","all_deer",274,133,84,49,2,132,42,"deer",NA,NA,NA,0.485401459854015
2004,"390","md",274,74,61,13,2,73,26,"deer",NA,NA,NA,NA
2004,"390","wt",274,59,23,36,0,59,15,"deer",NA,NA,NA,NA
2004,"391","all_deer",744,366,285,78,15,352,167,"deer",NA,NA,NA,0.491935483870968
2004,"391","md",744,231,194,36,12,218,105,"deer",NA,NA,NA,NA
2004,"391","wt",744,132,89,41,2,130,60,"deer",NA,NA,NA,NA
2004,"392","all_deer",1062,483,396,85,7,475,219,"deer",NA,NA,NA,0.454802259887006
2004,"392","md",1062,396,341,53,7,388,174,"deer",NA,NA,NA,NA
2004,"392","wt",1062,87,55,32,0,87,46,"deer",NA,NA,NA,NA
2004,"393","all_deer",1544,740,540,186,46,694,301,"deer",NA,NA,NA,0.479274611398964
2004,"393","md",1544,551,441,102,27,524,225,"deer",NA,NA,NA,NA
2004,"393","wt",1544,187,99,82,19,168,76,"deer",NA,NA,NA,NA
2004,"400","all_deer",1472,1300,724,565,21,1279,421,"deer",NA,NA,NA,0.883152173913043
2004,"400","md",1472,1034,591,432,12,1022,323,"deer",NA,NA,NA,NA
2004,"400","wt",1472,264,133,131,9,255,98,"deer",NA,NA,NA,NA
2004,"401","all_deer",1450,1115,677,428,14,1101,429,"deer",NA,NA,NA,0.768965517241379
2004,"401","md",1450,797,520,276,8,790,320,"deer",NA,NA,NA,NA
2004,"401","wt",1450,317,156,152,7,310,107,"deer",NA,NA,NA,NA
2004,"403","all_deer",172,124,80,42,0,124,51,"deer",NA,NA,NA,0.720930232558139
2004,"403","md",172,83,60,20,0,83,37,"deer",NA,NA,NA,NA
2004,"403","wt",172,39,17,22,0,39,12,"deer",NA,NA,NA,NA
2004,"404","all_deer",2678,2106,1136,923,107,1999,673,"deer",NA,NA,NA,0.786407766990291
2004,"404","md",2678,1117,644,457,34,1083,345,"deer",NA,NA,NA,NA
2004,"404","wt",2678,986,492,464,73,913,329,"deer",NA,NA,NA,NA
2004,"405","all_deer",971,761,420,331,0,761,231,"deer",NA,NA,NA,0.783728115345005
2004,"405","md",971,665,363,295,0,665,197,"deer",NA,NA,NA,NA
2004,"405","wt",971,95,58,34,0,95,35,"deer",NA,NA,NA,NA
2004,"406","all_deer",745,592,316,269,7,585,181,"deer",NA,NA,NA,0.794630872483222
2004,"406","md",745,414,214,194,1,413,109,"deer",NA,NA,NA,NA
2004,"406","wt",745,175,103,72,5,170,73,"deer",NA,NA,NA,NA
2004,"410","all_deer",1731,775,670,100,12,762,436,"deer",NA,NA,NA,0.447718082033507
2004,"410","md",1731,641,594,46,4,637,374,"deer",NA,NA,NA,NA
2004,"410","wt",1731,132,73,54,8,124,60,"deer",NA,NA,NA,NA
2004,"411","all_deer",3016,2728,1579,1106,103,2626,1125,"deer",NA,NA,NA,0.904509283819629
2004,"411","md",3016,1274,810,454,12,1262,504,"deer",NA,NA,NA,NA
2004,"411","wt",3016,1445,765,647,90,1355,619,"deer",NA,NA,NA,NA
