"Year","District","Species","Hunters","Days","N","four_plus","Sex","n_sex","Weapon","n_weapon","ung","six_plus"
2015,"309","md",0,0,17,6,"Bucks",17,"Bow",0,"deer",NA
2015,"309","md",0,0,17,6,"Does",0,"Rifle",17,"deer",NA
2015,"309","wt",0,0,378,139,"Bucks",152,"Bow",73,"deer",NA
2015,"309","wt",0,0,378,139,"Does",209,"Rifle",305,"deer",NA
2015,"310","all_deer",0,0,39,17,"Bucks",23,"Bow",4,"deer",NA
2015,"310","all_deer",0,0,39,17,"Does",16,"Rifle",34,"deer",NA
2015,"310","md",0,0,20,11,"Bucks",17,"Bow",3,"deer",NA
2015,"310","md",0,0,20,11,"Does",3,"Rifle",17,"deer",NA
2015,"310","wt",0,0,19,6,"Bucks",6,"Bow",2,"deer",NA
2015,"310","wt",0,0,19,6,"Does",13,"Rifle",17,"deer",NA
2015,"311","all_deer",0,0,928,370,"Bucks",542,"Bow",78,"deer",NA
2015,"311","all_deer",0,0,928,370,"Does",370,"Rifle",845,"deer",NA
2015,"311","md",0,0,268,141,"Bucks",227,"Bow",14,"deer",NA
2015,"311","md",0,0,268,141,"Does",42,"Rifle",254,"deer",NA
2015,"311","wt",0,0,657,230,"Bucks",316,"Bow",63,"deer",NA
2015,"311","wt",0,0,657,230,"Does",328,"Rifle",591,"deer",NA
2015,"312","all_deer",0,0,1387,391,"Bucks",543,"Bow",178,"deer",NA
2015,"312","all_deer",0,0,1387,391,"Does",820,"Rifle",1203,"deer",NA
2015,"312","md",0,0,152,83,"Bucks",144,"Bow",12,"deer",NA
2015,"312","md",0,0,152,83,"Does",7,"Rifle",140,"deer",NA
2015,"312","wt",0,0,1235,308,"Bucks",399,"Bow",166,"deer",NA
2015,"312","wt",0,0,1235,308,"Does",813,"Rifle",1063,"deer",NA
2015,"313","all_deer",0,0,305,166,"Bucks",255,"Bow",6,"deer",NA
2015,"313","all_deer",0,0,305,166,"Does",50,"Rifle",299,"deer",NA
2015,"313","md",0,0,206,126,"Bucks",206,"Bow",0,"deer",NA
2015,"313","md",0,0,206,126,"Does",0,"Rifle",206,"deer",NA
2015,"313","wt",0,0,99,40,"Bucks",49,"Bow",6,"deer",NA
2015,"313","wt",0,0,99,40,"Does",50,"Rifle",93,"deer",NA
2015,"314","all_deer",0,0,479,248,"Bucks",347,"Bow",28,"deer",NA
2015,"314","all_deer",0,0,479,248,"Does",124,"Rifle",448,"deer",NA
2015,"314","md",0,0,186,123,"Bucks",186,"Bow",6,"deer",NA
2015,"314","md",0,0,186,123,"Does",0,"Rifle",180,"deer",NA
2015,"314","wt",0,0,293,125,"Bucks",161,"Bow",22,"deer",NA
2015,"314","wt",0,0,293,125,"Does",124,"Rifle",268,"deer",NA
2015,"315","all_deer",0,0,865,364,"Bucks",547,"Bow",25,"deer",NA
2015,"315","all_deer",0,0,865,364,"Does",311,"Rifle",840,"deer",NA
2015,"315","md",0,0,246,137,"Bucks",243,"Bow",9,"deer",NA
2015,"315","md",0,0,246,137,"Does",3,"Rifle",238,"deer",NA
2015,"315","wt",0,0,619,226,"Bucks",304,"Bow",17,"deer",NA
2015,"315","wt",0,0,619,226,"Does",308,"Rifle",602,"deer",NA
2015,"316","all_deer",0,0,27,13,"Bucks",22,"Bow",0,"deer",NA
2015,"316","all_deer",0,0,27,13,"Does",6,"Rifle",27,"deer",NA
2015,"316","md",0,0,22,13,"Bucks",22,"Bow",0,"deer",NA
2015,"316","md",0,0,22,13,"Does",0,"Rifle",22,"deer",NA
2015,"316","wt",0,0,6,0,"Bucks",0,"Bow",0,"deer",NA
2015,"316","wt",0,0,6,0,"Does",6,"Rifle",6,"deer",NA
